Country Name,Year,GDP,Inflation,Unemployment,LifeExp,Education,GovSpending,Investment,Trade,PopGrowth
Africa Eastern and Southern,2019,2.03007686221603,4.10285075461156,7.45910636823544,63.8572612837043,8.67273044586182,2.72168052257397,22.0030443460919,24.1083995883246,15.2791925061319
Albania,2019,2.06257790176122,1.41109078954242,11.466,79.467,61.4085141527142,-1.54313709096794,25.2875256073276,30.9361224858484,12.6759912713341
United Arab Emirates,2019,1.27134240761141,-1.93108114782172,2.331,82.596,53.8814655213653,1.0545163442516,23.185328258013,93.3023091201398,12.6068496743838
Argentina,2019,-2.00086100285785,53.5483043492339,9.843,76.847,95.1928240640628,0.710900853077743,14.2100303992191,17.9248783778462,16.4432415862976
Armenia,2019,7.59999999853918,1.44344660770698,18.304,76.2219512195122,53.5944174785534,-0.219168932037313,17.4085294108567,42.2626073502911,12.5645600985114
Australia,2019,2.19401703622717,1.610770929127,5.143,82.9,109.759559631348,1.47749071058438,23.2971815966264,24.0624800210722,20.2893843805062
Austria,2019,1.75497619649288,1.53089564152643,4.56,81.8951219512195,86.3234329223633,0.444673639004876,25.5090080970816,55.8958073929339,19.5313211345866
Azerbaijan,2019,2.47980879185565,2.61057182799215,5.0,73.29,32.9221812477847,0.846646726414021,20.3077798481492,49.0506275016423,11.1234709302752
Belgium,2019,2.4428900448156,1.43681956996438,5.364,81.9951219512195,79.3044815063477,0.540461327098122,24.6756822316808,82.9674275396401,23.0038112825895
Benin,2019,6.86568662848335,0.732849371241066,1.214,59.888,10.3906803131103,2.73538842831436,25.6298005790604,29.6305271935478,10.3420632400446
Burkina Faso,2019,5.88920497068135,-3.23338933983321,4.493,60.184,6.90532594926159,2.52989803984158,19.7578680144889,29.2576956572794,20.4999424066528
Bangladesh,2019,7.88191515117722,5.59199639930629,4.504,72.625,22.7094642473405,0.84641125179804,32.2137331126266,13.0947573353039,6.2381894055709
